Year,MEX,USA
1990,9090257,56842777
1991,9296199,57289456
1992,9834971,58399599
1993,10404952,59188790
1994,10881487,60873617
1995,11524188,61784887
1996,11785007,62803939
1997,12715255,64136336
1998,12895860,65059097
1999,12878877,66041687
2000,13248476,66907090
2001,13255751,67426028
2002,13757211,67866877
2003,13837501,68383067
2004,14905732,68773682
2005,15325065,69689140
2006,16085282,70546482
2007,16709440,71248562
2008,17353649,72309790
2009,17457767,72682582
2010,18316568,72591301
2011,18476965,72489466
2012,19655267,72895264
2013,20000656,73006024
2014,20575673,73429254
2015,21017063,73938182
2016,21444235,74409003
2017,21871239,74823771
