Table 3. Age of reference person: Average annual expenditures and characteristics, Consumer Expenditure Survey, 2003                                                                                    
                                                                                                                                                                                                        
                                                                                                                                                                                                        
                                                 All      Under                                             65 and              75 and                                                                  
                    Item                       consumer     25      25-34     35-44     45-54     55-64      over     65-74      over                                                                   
                                                units                                                                                                                                                   
                                                                                                                                       
                                                                
Number of consumer units (in thousands)......  115,356     8,584    19,737    24,413    23,131    16,580    22,912    11,495    11,417                                                                  
Income before taxes a/ ......................  $51,128   $20,680   $50,389   $61,091   $68,028   $58,672   $30,437   $35,314   $25,492                                                                  
Income after taxes a/ .......................   48,596    20,259    48,410    58,275    64,080    55,844    28,559    33,859    23,185                                                                  
Age of the reference person..................     48.4      21.3      29.7      39.7      49.4      59.0      75.1      69.2      81.1                                                                  
Average number in consumer unit:                                                                                                                                                                        
 Persons.....................................      2.5       1.8       2.9       3.2       2.6       2.1       1.7       1.9       1.5                                                                  
 Children under 18...........................       .6        .4       1.1       1.3        .6        .2        .1        .1        b/                                                                  
 Persons 65 and over.........................       .3        b/        b/        b/        b/        .1       1.4       1.4       1.3                                                                  
 Earners.....................................      1.3       1.2       1.5       1.6       1.8       1.4        .4        .6        .2                                                                  
 Vehicles....................................      1.9       1.1       1.8       2.1       2.4       2.3       1.5       1.8       1.2                                                                  
Percent distribution:                                                                                                                                                                                   
 Male........................................       50        49        51        52        51        53        45        50        41                                                                  
 Female......................................       50        51        49        48        49        47        55        50        59                                                                  
 Homeowner...................................       67        15        48        69        76        82        80        83        78                                                                  
  With mortgage..............................       41         9        42        57        56        44        17        27         8                                                                  
  Without mortgage...........................       26         7         7        12        20        38        63        56        70                                                                  
 Renter......................................       33        85        52        31        24        18        20        17        22                                                                  
 Black or African American...................       12        10        13        14        12        10        10        11         8                                                                  
 White, Asian, and All Other Races...........       88        90        87        86        88        90        90        89        92                                                                  
 Elementary (1-8)............................        6         2         3         4         4         6        14        11        18                                                                  
 High school (9-12)..........................       36        30        30        37        34        36        46        45        47                                                                  
 College.....................................       57        68        66        59        62        57        39        43        35                                                                  
 Never attended and other....................       c/        c/        c/        c/        c/        c/         1         1         1                                                                  
 At least one vehicle owned or leased........       88        71        89        91        92        91        82        87        76                                                                  
Average annual expenditures..................   $40,817   $22,396   $40,525   $47,175   $50,101   $44,191   $29,376   $33,629   $25,016                                                                 
 Food........................................    5,340     3,401     5,318     6,272     6,381     5,530     3,896     4,544     3,208                                                                  
    Food at home.............................    3,129     1,766     2,976     3,600     3,693     3,315     2,575     2,888     2,241                                                                  
      Cereals and bakery products............      442       256       421       523       509       427       387       414       358                                                                  
        Cereals and cereal products..........      150        96       156       183       168       140       120       129       110                                                                  
        Bakery products......................      292       160       265       340       341       287       267       285       248                                                                  
      Meats, poultry, fish, and eggs.........      825       438       769       933     1,002       914       661       758       558                                                                  
        Beef.................................      246       131       227       265       320       287       178       226       128                                                                  
        Pork.................................      171        88       142       188       208       192       157       165       147                                                                  
        Other meats..........................      102        53        90       123       123       108        83        92        74                                                                  
