EntertainmentSpending,Year,Age,AlcoholicSpending,HealthcareSpending,IncomeAfterTax,IncomeBeforeTax,annualExpend,housingexpend
1091,2000,Under 25 years,392,504,18813,19744,22543,7109
1876,2000,25-34 years,431,1256,42665,45498,38945,13050
2464,2000,35-44 years,420,1774,52626,56500,45149,15111
2231,2000,45-54 years,417,2200,54149,58889,46160,14179
1955,2000,55-64 years,371,2508,44109,48108,39340,12362
1069,2000,65 years and older,211,3247,23890,25220,26533,8759
1403,2000,65-74 years,261,3163,27553,29349,30782,9671
707,2000,75 years and older,155,3338,19759,20563,21908,7766
1152,2001,Under 25 years,379,530,20330,20769,23526,7585
2001,2001,25-34 years,393,1286,46490,49424,39451,13828
2508,2001,35-44 years,413,1879,55326,58902,46908,15870
2233,2001,45-54 years,396,2265,56499,61093,47930,15026
2337,2001,55-64 years,322,2703,48433,51965,41462,12802
1067,2001,65 years and older,192,3493,26414,27528,27714,9354
1296,2001,65-74 years,233,3583,30801,32365,32023,10629
822,2001,75 years and older,148,3397,21631,22255,23099,7988
1212,2002,Under 25 years,394,640,20206,20773,24229,7436
2027,2002,25-34 years,395,1417,46875,49133,40318,13727
2685,2002,35-44 years,367,1980,58457,61532,48330,16350
2565,2002,45-54 years,465,2550,60923,64974,48748,15476
2297,2002,55-64 years,420,3007,50306,53162,44330,13831
1139,2002,65 years and older,237,3586,28674,29711,28105,9176
1371,2002,65-74 years,324,3588,33562,35118,32243,10052
896,2002,75 years and older,144,3584,23411,23890,23759,8257
950,2003,Under 25 years,509,546,20259,20680,22396,7095
1958,2003,25-34 years,446,1468,48410,50389,40525,14392
2519,2003,35-44 years,424,2105,58275,61091,47175,16098
2407,2003,45-54 years,477,2479,64080,68028,50101,15624
2414,2003,55-64 years,372,3059,55844,58672,44191,13714
1469,2003,65 years and older,184,3741,28559,30437,29376,9729
2016,2003,65-74 years,237,3626,33859,35314,33629,10761
909,2003,75 years and older,128,3856,23185,25492,25016,8678
1166,2004,Under 25 years,503,654,22507,22840,24535,7649
2122,2004,25-34 years,522,1519,50819,52484,42701,14379
2504,2004,35-44 years,535,2263,63202,65515,50402,16794
2711,2004,45-54 years,502,2695,66761,70434,52764,16164
2823,2004,55-64 years,457,3262,58043,61031,47299,14339
1429,2004,65 years and older,261,3899,34040,34988,31104,10259
1879,2004,65-74 years,329,3799,41126,42137,36512,11152
990,2004,75 years and older,190,3995,27142,28028,25763,9381
1393,2005,Under 25 years,401,704,27120,27494,27776,8940
2455,2005,25-34 years,478,1522,53257,55066,45068,15516
2765,2005,35-44 years,511,2272,69619,72699,55190,18482
3034,2005,45-54 years,458,2672,71442,75266,55854,17258
2429,2005,55-64 years,454,3410,61068,64156,49592,15769
1593,2005,65 years and older,248,4193,36007,36936,32866,11058
2143,2005,65-74 years,325,4176,43976,45202,38573,12474
1032,2005,75 years and older,167,4210,27924,28552,27018,9612
1348,2006,Under 25 years,473,706,28535,29057,28181,9355
2237,2006,25-34 years,657,1652,55676,57208,47582,17139
2966,2006,35-44 years,496,2284,72445,75613,57476,20303
2770,2006,45-54 years,612,2757,73683,77043,57563,18377
2666,2006,55-64 years,477,3556,60894,64425,50789,16529
1584,2006,65 years and older,263,4331,36753,37982,35058,11787
2049,2006,65-74 years,339,4379,44304,46064,40960,13273
1099,2006,75 years and older,184,4282,28850,29525,28904,10236
1448,2007,Under 25 years,461,800,30802,31443,29457,9598
2462,2007,25-34 years,514,1740,55765,57256,47510,17329
3551,2007,35-44 years,469,2315,74051,76540,58934,20952
3163,2007,45-54 years,498,2792,77075,80560,58331,19195
2730,2007,55-64 years,533,3476,67965,71048,53786,17223
1966,2007,65 years and older,285,4631,39179,40305,36530,12396
2636,2007,65-74 years,346,4967,46334,47708,42262,13547
1255,2007,75 years and older,218,4275,31634,32499,30414,11173
1608,2008,Under 25 years,448,682,27907,28127,29325,9975
2766,2008,25-34 years,491,1737,58809,59878,48159,17318
3603,2008,35-44 years,462,2499,75677,77582,58808,20649
3297,2008,45-54 years,505,2930,78537,81844,61179,19562
3036,2008,55-64 years,525,3825,69009,71653,54783,17611
1914,2008,65 years and older,251,4605,38841,39341,36844,12993
2418,2008,65-74 years,343,4779,44402,45232,41433,13845
1349,2008,75 years and older,144,4413,32747,32886,31692,12035
1233,2009,Under 25 years,344,676,25522,25695,28119,9735
2504,2009,25-34 years,481,1805,57239,58946,46494,17258
3317,2009,35-44 years,498,2520,74900,77005,57301,20705
3176,2009,45-54 years,502,3173,77460,80976,58708,19004
2906,2009,55-64 years,440,3895,67586,70609,52463,16991
2062,2009,65 years and older,292,4846,39054,39862,37562,13196
2498,2009,65-74 years,389,4906,46147,47286,42957,14462
1587,2009,75 years and older,188,4779,31272,31715,31676,11811
1221,2010,Under 25 years,406,775,26777,26881,27483,9553
2251,2010,25-34 years,473,1800,58558,59613,46617,16845
3058,2010,35-44 years,497,2583,74136,76128,55946,20041
3088,2010,45-54 years,414,3261,76266,79589,57788,18900
2683,2010,55-64 years,402,3859,66611,68906,50900,16673
1891,2010,65 years and older,295,4843,40626,41286,36802,13015
2341,2010,65-74 years,392,4922,48595,49711,41434,14420
1374,2010,75 years and older,184,4754,31638,31782,31529,11421
1345,2011,Under 25 years,418,841,27495,27514,29912,10282
2423,2011,25-34 years,513,2094,56851,58179,48097,17026
2926,2011,35-44 years,497,2762,75537,77376,57271,19979
3169,2011,45-54 years,494,3411,75234,78519,58050,18782
2769,2011,55-64 years,468,4048,72115,75517,53616,17173
2009,2011,65 years and older,338,4769,42326,43232,39173,13706
2493,2011,65-74 years,422,5038,51161,52521,44646,15105
1437,2011,75 years and older,241,4449,31779,32144,32688,12046
