1091,2000,Under 25 years,392,504,18813,19744,22543,7109
1876,2000,25-34 years,431,1256,42665,45498,38945,13050
2464,2000,35-44 years,420,1774,52626,56500,45149,15111
2231,2000,45-54 years,417,2200,54149,58889,46160,14179
1955,2000,55-64 years,371,2508,44109,48108,39340,12362
1069,2000,65 years and older,211,3247,23890,25220,26533,8759
1403,2000,65-74 years,261,3163,27553,29349,30782,9671
707,2000,75 years and older,155,3338,19759,20563,21908,7766
1152,2001,Under 25 years,379,530,20330,20769,23526,7585
2001,2001,25-34 years,393,1286,46490,49424,39451,13828
2508,2001,35-44 years,413,1879,55326,58902,46908,15870
2233,2001,45-54 years,396,2265,56499,61093,47930,15026
2337,2001,55-64 years,322,2703,48433,51965,41462,12802
1067,2001,65 years and older,192,3493,26414,27528,27714,9354
1296,2001,65-74 years,233,3583,30801,32365,32023,10629
822,2001,75 years and older,148,3397,21631,22255,23099,7988
1212,2002,Under 25 years,394,640,20206,20773,24229,7436
2027,2002,25-34 years,395,1417,46875,49133,40318,13727
2685,2002,35-44 years,367,1980,58457,61532,48330,16350
2565,2002,45-54 years,465,2550,60923,64974,48748,15476
2297,2002,55-64 years,420,3007,50306,53162,44330,13831
1139,2002,65 years and older,237,3586,28674,29711,28105,9176
1371,2002,65-74 years,324,3588,33562,35118,32243,10052
896,2002,75 years and older,144,3584,23411,23890,23759,8257
950,2003,Under 25 years,509,546,20259,20680,22396,7095
1958,2003,25-34 years,446,1468,48410,50389,40525,14392
2519,2003,35-44 years,424,2105,58275,61091,47175,16098
2407,2003,45-54 years,477,2479,64080,68028,50101,15624
2414,2003,55-64 years,372,3059,55844,58672,44191,13714
1469,2003,65 years and older,184,3741,28559,30437,29376,9729
2016,2003,65-74 years,237,3626,33859,35314,33629,10761
909,2003,75 years and older,128,3856,23185,25492,25016,8678
1166,2004,Under 25 years,503,654,"22,507","$22,840","$24,535","7,649"
2122,2004,25-34 years,522,"1,519","50,819","$52,484","$42,701","14,379"
2504,2004,35-44 years,535,"2,263","63,202","$65,515","$50,402","16,794"
2711,2004,45-54 years,502,"2,695","66,761","$70,434","$52,764","16,164"
2823,2004,55-64 years,457,"3,262","58,043","$61,031","$47,299","14,339"
1429,2004,65 years and older,261,"3,899","34,040","$34,988","$31,104","10,259"
1879,2004,65-74 years,329,"3,799","41,126","$42,137","$36,512","11,152"
990,2004,75 years and older,190,3995,27142,28028,25763,9381
1393,2005,Under 25 years,$401,$704,"$27,120","$27,494","$27,776","$8,940"
2455,2005,25-34 years,$478,"$1,522","$53,257","$55,066","$45,068","$15,516"
2765,2005,35-44 years,$511,"$2,272","$69,619","$72,699","$55,190","$18,482"
3034,2005,45-54 years,$458,"$2,672","$71,442","$75,266","$55,854","$17,258"
2429,2005,55-64 years,$454,"$3,410","$61,068","$64,156","$49,592","$15,769"
1593,2005,65 years and older,$248,"$4,193","$36,007","$36,936","$32,866","$11,058"
2143,2005,65-74 years,$325,"$4,176","$43,976","$45,202","$38,573","$12,474"
1032,2005,75 years and older,$167,"$4,210","$27,924","$28,552","$27,018","$9,612"
1348,2006,Under 25 years,$473,$706,"$28,535","$29,057","$28,181","$9,355"
2237,2006,25-34 years,$657,"$1,652","$55,676","$57,208","$47,582","$17,139"
2966,2006,35-44 years,$496,"$2,284","$72,445","$75,613","$57,476","$20,303"
2770,2006,45-54 years,$612,"$2,757","$73,683","$77,043","$57,563","$18,377"
2666,2006,55-64 years,$477,"$3,556","$60,894","$64,425","$50,789","$16,529"
1584,2006,65 years and older,$263,"$4,331","$36,753","$37,982","$35,058","$11,787"
2049,2006,65-74 years,$339,"$4,379","$44,304","$46,064","$40,960","$13,273"
1099,2006,75 years and older,$184,"$4,282","$28,850","$29,525","$28,904","$10,236"
1448,2007,Under 25 years,$461,$800,"$30,802","$31,443","$29,457","$9,598"
2462,2007,25-34 years,$514,"$1,740","$55,765","$57,256","$47,510","$17,329"
3551,2007,35-44 years,$469,"$2,315","$74,051","$76,540","$58,934","$20,952"
3163,2007,45-54 years,$498,"$2,792","$77,075","$80,560","$58,331","$19,195"
2730,2007,55-64 years,$533,"$3,476","$67,965","$71,048","$53,786","$17,223"
1966,2007,65 years and older,$285,"$4,631","$39,179","$40,305","$36,530","$12,396"
2636,2007,65-74 years,$346,"$4,967","$46,334","$47,708","$42,262","$13,547"
1255,2007,75 years and older,$218,"$4,275","$31,634","$32,499","$30,414","$11,173"
1608,2008,Under 25 years,$448,$682,"$27,907","$28,127","$29,325","$9,975"
2766,2008,25-34 years,$491,"$1,737","$58,809","$59,878","$48,159","$17,318"
3603,2008,35-44 years,$462,"$2,499","$75,677","$77,582","$58,808","$20,649"
3297,2008,45-54 years,$505,"$2,930","$78,537","$81,844","$61,179","$19,562"
3036,2008,55-64 years,$525,"$3,825","$69,009","$71,653","$54,783","$17,611"
1914,2008,65 years and older,$251,"$4,605","$38,841","$39,341","$36,844","$12,993"
2418,2008,65-74 years,$343,"$4,779","$44,402","$45,232","$41,433","$13,845"
1349,2008,75 years and older,$144,"$4,413","$32,747","$32,886","$31,692","$12,035"
1233,2009,Under 25 years,$344,$676,"$25,522","$25,695","$28,119","$9,735"
2504,2009,25-34 years,$481,"$1,805","$57,239","$58,946","$46,494","$17,258"
3317,2009,35-44 years,$498,"$2,520","$74,900","$77,005","$57,301","$20,705"
3176,2009,45-54 years,$502,"$3,173","$77,460","$80,976","$58,708","$19,004"
2906,2009,55-64 years,$440,"$3,895","$67,586","$70,609","$52,463","$16,991"
2062,2009,65 years and older,$292,"$4,846","$39,054","$39,862","$37,562","$13,196"
2498,2009,65-74 years,$389,"$4,906","$46,147","$47,286","$42,957","$14,462"
1587,2009,75 years and older,$188,"$4,779","$31,272","$31,715","$31,676","$11,811"
1221,2010,Under 25 years,$406,$775,"$26,777","$26,881","$27,483","$9,553"
2251,2010,25-34 years,$473,"$1,800","$58,558","$59,613","$46,617","$16,845"
3058,2010,35-44 years,$497,"$2,583","$74,136","$76,128","$55,946","$20,041"
3088,2010,45-54 years,$414,"$3,261","$76,266","$79,589","$57,788","$18,900"
2683,2010,55-64 years,$402,"$3,859","$66,611","$68,906","$50,900","$16,673"
1891,2010,65 years and older,$295,"$4,843","$40,626","$41,286","$36,802","$13,015"
2341,2010,65-74 years,$392,"$4,922","$48,595","$49,711","$41,434","$14,420"
1374,2010,75 years and older,$184,"$4,754","$31,638","$31,782","$31,529","$11,421"
1345,2011,Under 25 years,$418,$841,"$27,495","$27,514","$29,912","$10,282"
2423,2011,25-34 years,$513,"$2,094","$56,851","$58,179","$48,097","$17,026"
2926,2011,35-44 years,$497,"$2,762","$75,537","$77,376","$57,271","$19,979"
3169,2011,45-54 years,$494,"$3,411","$75,234","$78,519","$58,050","$18,782"
2769,2011,55-64 years,$468,"$4,048","$72,115","$75,517","$53,616","$17,173"
2009,2011,65 years and older,$338,"$4,769","$42,326","$43,232","$39,173","$13,706"
2493,2011,65-74 years,$422,"$5,038","$51,161","$52,521","$44,646","$15,105"
1437,2011,75 years and older,$241,"$4,449","$31,779","$32,144","$32,688","$12,046"
EntertainmentSpending,Year,Age,AlcoholicSpending,HealthcareSpending,IncomeAfterTax,IncomeBeforeTax,annualExpend,housingexpend
